BoogieWoogieWoogie, alu/ADDIU-v1, ADDIU, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDIU-v2, ADDIU, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDIU-v3, ADDIU, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDI-v1, ADDI, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDI-v2, ADDI, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDI-v3, ADDI, Pass, dt10, 
BoogieWoogieWoogie, alu/ADD-nowrap1, ADD, Pass, dt10, 
BoogieWoogieWoogie, alu/ADD-nowrap2, ADD, Pass, dt10, 
BoogieWoogieWoogie, alu/ADD-nowrap, ADD, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDU-nowrap, ADDU, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDU-ret, ADDU, Pass, dt10, 
BoogieWoogieWoogie, alu/ADDU-wrap, ADDU, Pass, dt10, 
BoogieWoogieWoogie, alu/ADD-wrap2, ADD, Pass, dt10, 
BoogieWoogieWoogie, alu/ADD-wrap, ADD, Pass, dt10, 
BoogieWoogieWoogie, alu/ANDI-v1, ANDI, Pass, dt10, 
BoogieWoogieWoogie, alu/ANDI-v2, ANDI, Pass, dt10, 
BoogieWoogieWoogie, alu/ANDI-v3, ANDI, Pass, dt10, 
BoogieWoogieWoogie, alu/ANDI-v4, ANDI, Pass, dt10, 
BoogieWoogieWoogie, alu/AND-v1, AND, Pass, dt10, 
BoogieWoogieWoogie, alu/AND-v2, AND, Pass, dt10, 
BoogieWoogieWoogie, alu/AND-v3, AND, Pass, dt10, 
BoogieWoogieWoogie, alu/LUI-v1, LUI, Pass, dt10, 
BoogieWoogieWoogie, alu/LUI-v2, LUI, Pass, dt10, 
BoogieWoogieWoogie, alu/ORI-v1, ORI, Pass, dt10, 
BoogieWoogieWoogie, alu/ORI-v2, ORI, Pass, dt10, 
BoogieWoogieWoogie, alu/ORI-v3, ORI, Pass, dt10, 
BoogieWoogieWoogie, alu/ORI-v4, ORI, Pass, dt10, 
BoogieWoogieWoogie, alu/ORI-v5, ORI, Pass, dt10, 
BoogieWoogieWoogie, alu/OR-v1, OR, Pass, dt10, 
BoogieWoogieWoogie, alu/OR-v2, OR, Pass, dt10, 
BoogieWoogieWoogie, alu/OR-v3, OR, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTIU-v1, SLTIU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTIU-v2, SLTIU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTIU-v3, SLTIU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTIU-v4, SLTIU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTIU-v5, SLTIU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTI-v1, SLTI, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTI-v2, SLTI, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTI-v3, SLTI, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTI-v4, SLTI, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTI-v5, SLTI, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTU-v1, SLTU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTU-v2, SLTU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTU-v3, SLTU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLTU-v4, SLTU, Pass, dt10, 
BoogieWoogieWoogie, alu/SLT-v1, SLT, Pass, dt10, 
BoogieWoogieWoogie, alu/SLT-v2, SLT, Pass, dt10, 
BoogieWoogieWoogie, alu/SLT-v3, SLT, Pass, dt10, 
BoogieWoogieWoogie, alu/SLT-v4, SLT, Pass, dt10, 
BoogieWoogieWoogie, alu/SUB-neg-res, SUB, Pass, dt10, 
BoogieWoogieWoogie, alu/SUB-pos-res, SUB, Pass, dt10, 
BoogieWoogieWoogie, alu/SUB-wrap, SUB, Pass, dt10, 
BoogieWoogieWoogie, alu/XOR-v1, XOR, Pass, dt10, 
BoogieWoogieWoogie, alu/XOR-v2, XOR, Pass, dt10, 
BoogieWoogieWoogie, branch/BEQ-delay-slot, BEQ, Pass, dt10, 
BoogieWoogieWoogie, branch/BEQ-loop, BEQ, Pass, dt10, 
BoogieWoogieWoogie, branch/BEQ-loop-v2, BEQ, Pass, dt10, 
BoogieWoogieWoogie, branch/BEQ-not-taken, BEQ, Pass, dt10, 
BoogieWoogieWoogie, branch/BEQ-taken, BEQ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZAL-not-taken-v1, BGEZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZAL-not-taken-v2, BGEZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZAL-taken-v1, BGEZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZAL-taken-v2, BGEZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZ-delay-slot, BGEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZ-loop, BGEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZ-not-taken, BGEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGEZ-taken, BGEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGTZ-delay-slot, BGTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGTZ-loop, BGTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGTZ-not-taken, BGTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BGTZ-taken, BGTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLEZ-delay-slot, BLEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLEZ-loop, BLEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLEZ-not-taken, BLEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLEZ-taken, BLEZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZAL-not-taken-v1, BLTZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZAL-not-taken-v2, BLTZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZAL-taken-v1, BLTZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZAL-taken-v2, BLTZAL, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZ-delay-slot, BLTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZ-loop, BLTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZ-not-taken, BLTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BLTZ-taken, BLTZ, Pass, dt10, 
BoogieWoogieWoogie, branch/BNE-delay-slot, BNE, Pass, dt10, 
BoogieWoogieWoogie, branch/BNE-loop, BNE, Pass, dt10, 
BoogieWoogieWoogie, branch/BNE-loop-v2, BNE, Pass, dt10, 
BoogieWoogieWoogie, branch/BNE-not-taken, BNE, Pass, dt10, 
BoogieWoogieWoogie, branch/BNE-taken, BNE, Pass, dt10, 
BoogieWoogieWoogie, branch/JALR-v1, JALR, Pass, dt10, 
BoogieWoogieWoogie, branch/JALR-v2, JALR, Pass, dt10, 
BoogieWoogieWoogie, branch/JALR-v3, JALR, Pass, dt10, 
BoogieWoogieWoogie, branch/JAL-v1, JAL, Pass, dt10, 
BoogieWoogieWoogie, branch/JAL-v2, JAL, Pass, dt10, 
BoogieWoogieWoogie, branch/JAL-v3, JAL, Pass, dt10, 
BoogieWoogieWoogie, branch/JR-backwards, JR, Pass, dt10, 
BoogieWoogieWoogie, branch/JR-invalid, JR, Pass, dt10, 
BoogieWoogieWoogie, branch/JR-nothing, JR, Pass, dt10, 
BoogieWoogieWoogie, branch/JR-return-immediate, JR, Pass, dt10, 
BoogieWoogieWoogie, branch/JR-return-immediate-nodelay, JR, Pass, dt10, 
BoogieWoogieWoogie, branch/J-v1, J, Pass, dt10, 
BoogieWoogieWoogie, branch/J-v2, J, Pass, dt10, 
BoogieWoogieWoogie, branch/J-v3, J, Pass, dt10, 
BoogieWoogieWoogie, mem/LBU-v1, LBU, Fail, dt10, Expected retcode 18 but got retcode 120.
BoogieWoogieWoogie, mem/LBU-v2, LBU, Pass, dt10, 
BoogieWoogieWoogie, mem/LBU-v3, LBU, Pass, dt10, 
BoogieWoogieWoogie, mem/LBU-v4, LBU, Pass, dt10, 
BoogieWoogieWoogie, mem/LBU-v5, LBU, Pass, dt10, 
BoogieWoogieWoogie, mem/LBU-v6, LBU, Pass, dt10, 
BoogieWoogieWoogie, mem/LBU-v7, LBU, Fail, dt10, Expected retcode 15 but got retcode 0.
BoogieWoogieWoogie, mem/LBU-v8, LBU, Fail, dt10, Expected retcode 7 but got retcode 0.
BoogieWoogieWoogie, mem/LB-v1, LB, Pass, dt10, 
BoogieWoogieWoogie, mem/LB-v2, LB, Pass, dt10, 
BoogieWoogieWoogie, mem/LB-v3, LB, Pass, dt10, 
BoogieWoogieWoogie, mem/LB-v4, LB, Pass, dt10, 
BoogieWoogieWoogie, mem/LB-v5, LB, Pass, dt10, 
BoogieWoogieWoogie, mem/LB-v6, LB, Pass, dt10, 
BoogieWoogieWoogie, mem/LB-v7, LB, Fail, dt10, Expected retcode 255 but got retcode 32.
BoogieWoogieWoogie, mem/LB-v8, LB, Fail, dt10, Expected retcode 7 but got retcode 0.
